timestamp,epoch,step,train_loss,train_perplexity,eval_loss,eval_perplexity,learning_rate,grad_norm
2025-06-01T22:08:27.375470,2,220,442,0.0975542925298214,1.1024712958941993,,,6.124844135478971e-06,0.7935145497322083
2025-06-01T22:08:31.256631,2,445,444,0.09071190734939263,1.0949535117554743,0.2383137834072113,1.2691073551832994,6.028521093652195e-06,
2025-06-01T22:08:48.876018,3,10,454,0.031211395747959614,1.0317035785853463,,,5.553648208150728e-06,0.48356005549430847
2025-06-01T22:08:52.776927,3,20,464,0.031000780873000622,1.0314863093460178,,,5.090962463848592e-06,0.5302640199661255
2025-06-01T22:08:56.677996,3,30,474,0.04129863902926445,1.0421632897104725,,,4.641732050210032e-06,0.7962318062782288
2025-06-01T22:09:00.576642,3,40,484,0.04581455513834953,1.0468802543908846,,,4.207188276573214e-06,0.7152215838432312
2025-06-01T22:09:04.474363,3,50,494,0.03719506040215492,1.0378954533987617,,,3.7885221972168974e-06,0.5870726704597473
2025-06-01T22:09:11.283191,3,60,504,0.02477585431188345,1.0250853263158552,,,3.3868813467634833e-06,0.47100794315338135
2025-06-01T22:09:15.188720,3,70,514,0.04708791710436344,1.0482141609825184,,,3.003366594866345e-06,0.9475640654563904
2025-06-01T22:09:19.090076,3,80,524,0.04347562417387962,1.0444345350471118,,,2.639029128802657e-06,0.6836437582969666
2025-06-01T22:09:22.994807,3,90,534,0.045809678733348846,1.046875149391224,,,2.2948675722421086e-06,0.7145618796348572
2025-06-01T22:09:26.903036,3,100,544,0.08468991331756115,1.0883795223717765,,,1.9718252480888567e-06,1.2155704498291016
2025-06-01T22:09:33.732771,3,110,554,0.04231490008533001,1.0432229380243245,,,1.6707875928990059e-06,0.8035908341407776
2025-06-01T22:09:37.632505,3,120,564,0.024803001433610916,1.0251131548097199,,,1.3925797299605649e-06,0.4342428743839264
2025-06-01T22:09:41.516456,3,130,574,0.047217048704624176,1.0483495272943881,,,1.1379642076878528e-06,0.9755510687828064
2025-06-01T22:09:45.415379,3,140,584,0.030878172256052494,1.0313598479890123,,,9.076389095293148e-07,0.5726606845855713
2025-06-01T22:09:49.319436,3,150,594,0.037491971626877785,1.0382036619619912,,,7.022351411174866e-07,0.700962483882904
2025-06-01T22:09:56.133785,3,160,604,0.04206804744899273,1.0429654474742038,,,5.223158999041444e-07,0.6717422008514404
2025-06-01T22:10:00.035383,3,170,614,0.03362067602574825,1.0341922384054545,,,3.68374332023419e-07,0.5888093113899231
2025-06-01T22:10:03.922594,3,180,624,0.053529851138591766,1.0549884839049966,,,2.4083238061252565e-07,0.9545252323150635
2025-06-01T22:10:07.809788,3,190,634,0.04251237213611603,1.0434289657390112,,,1.400396292949513e-07,0.7707187533378601
2025-06-01T22:10:11.713551,3,200,644,0.029588287696242332,1.0300303704660803,,,6.627234399603554e-08,0.5699613094329834
2025-06-01T22:10:18.546978,3,210,654,0.03146916162222624,1.0319695508380768,,,1.973271571728441e-08,0.5466866493225098
2025-06-01T22:10:22.450171,3,220,664,0.03437684569507837,1.0349745589546517,,,5.483063448785686e-10,0.7315030097961426
2025-06-01T22:10:26.334495,3,445,666,0.039174853622711996,1.0399523071818013,0.2910202094912529,1.337791619764882,0.0,
